名前,色,香り,口当たり,味,後味
アバフェルディ,黄色,フルーツ,中程度,オイリィ,香辛料
アベラワー,赤色,豊潤,スムーズ,香辛料,あっさり
アードベッグ,シェリー,塩っぽい,しっかり,甘い,塩っぽい
アードモア,青金色,シェリー,充実した,甘い,大きな
オーヘントッシャン,青金色,芝生,ソフト,甘い,香辛料
オルトモーア,薄青白色,新鮮,しっかり,香辛料,乾いた
バルブレア,白ワイン,フルーツ,軽やか,香辛料,あっさり
バルミニック,青金色,芝生,軽やか,甘い,余韻ある
バルヴィニー,琥珀色,フルーツ,中程度,甘い,あっさり
バンフ,濃金色,ピート,中程度,甘い,香辛料
ベン・ネヴィス,濃琥珀色,芝生,オイリィ,甘い,甘い
ベンリアック,金色,芝生,軽やか,甘い,スモーク
ベンリネス,琥珀色,ピート,しっかり,乾いた,スモーク
ベンローマック,琥珀色,芝生,中程度,甘い,スモーク
ブランドノック,黄色,芝生,しっかり,充実した,フルーツ
ブレア・アソール,青金色,香辛料,軽やか,アロマ,香辛料
ボウモア,古金色,塩っぽい,軽やか,甘い,名残惜く
ブラックラ,古金色,甘い,充実した,アロマ,芝生
ブルイックラディ,青白色,軽やか,しっかり,甘い,充実した
ブナハーブン,金色,塩っぽい,しっかり,甘い,充実した
カリラ,白ワイン,塩っぽい,オイリィ,香辛料,香辛料
キャパドニック,濃金色,ピート,軽やか,甘い,あっさり
カードゥ,青白色,軽やか,軽やか,甘い,あっさり
クライヌリッシュ,琥珀色,塩っぽい,オイリィ,塩っぽい,あっさり
コールバーン,青金色,芝生,オイリィ,アロマ,名残惜く
コンバルモア,濃金色,甘い,充実した,オイリィ,香辛料
クラガンモア,金色,豊潤,しっかり,芝生,余韻ある
クレイゲラヒ,濃金色,フルーツ,中程度,甘い,大きな
ダルユーイン,金色,シェリー,充実した,オイリィ,芝生
ダラス・ドゥー,濃琥珀色,豊潤,充実した,甘い,余韻ある
ダルモア,濃琥珀色,シェリー,充実した,塩っぽい,余韻ある
ダルウィニー,金色,塩っぽい,オイリィ,アロマ,長い余韻
ディーンストン,青白色,ドライ,軽やか,甘い,軽やか
ダフタウン,濃金色,豊潤,オイリィ,オイリィ,あっさり
エドラダワー,金色,香辛料,軽やか,オイリィ,ほてった
フェッターケアン,青白色,フルーツ,軽やか,芝生,あっさり
グレンアルビン,琥珀色,シェリー,軽やか,甘い,あっさり
グレンアラヒ,薄青白色,甘い,しっかり,すっきり,余韻ある
グレンバーギ,金色,芝生,オイリィ,香辛料,余韻ある
グレンカダム,濃金色,フルーツ,充実した,塩っぽい,ほてった
グレンデヴェロン,金色,シェリー,軽やか,甘い,名残惜く
グレンドロナック,金色,シェリー,オイリィ,甘い,芝生
グレンダラン,琥珀色,シェリー,しっかり,アロマ,余韻ある
グレン・エルギン,濃金色,フルーツ,軽やか,甘い,スモーク
グレネスク,金色,ドライ,軽やか,甘い,甘い
グレンファークラス,青銅色,シェリー,しっかり,乾いた,余韻ある
グレンフィディック,白ワイン,フルーツ,しっかり,甘い,スモーク
グレン・ギリー,濃金色,ピート,しっかり,甘い,名残惜く
グレングラッサ,金色,芝生,しっかり,甘い,乾いた
グレンゴイン,濃金色,シェリー,軽やか,甘い,甘い
